i,j,k,l,result
5,"('age', 'sex_female', 'smoker_no', 'region_southeast', 'region_southwest')",1,6,0.7690326199945974
5,"('age', 'sex_female', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.08135081718505643
5,"('age', 'sex_female', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.08135081718505621
5,"('age', 'sex_female', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.08135081718505655
5,"('age', 'sex_female', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08135081718505643
5,"('age', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southeast')",1,6,0.7692343242019075
5,"('age', 'smoker_no', 'region_northeast', 'region_northwest', 'region_southwest')",1,6,0.7692343242019082
5,"('age', 'smoker_no', 'region_northeast', 'region_southeast', 'region_southwest')",1,6,0.7692343242019082
5,"('age', 'smoker_no', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.7692343242019081
5,"('age', 'region_northeast', 'region_northwest', 'region_southeast', 'region_southwest')",1,6,0.08671122567587253
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northeast')",1,6,0.7928785154938622
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_northwest')",1,6,0.7899138309033534
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_southeast')",1,6,0.7938033388387072
5,"('bmi', 'children', 'sex_female', 'smoker_no', 'region_southwest')",1,6,0.7949828432474004
5,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_northwest')",1,6,0.0025220485294655814
5,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_southeast')",1,6,-0.0030403999638155543
5,"('bmi', 'children', 'sex_female', 'region_northeast', 'region_southwest')",1,6,0.010630597148772014
5,"('bmi', 'children', 'sex_female', 'region_northwest', 'region_southeast')",1,6,0.0008071002242033831
5,"('bmi', 'children', 'sex_female', 'region_northwest', 'region_southwest')",1,6,0.012825736410945199
5,"('bmi', 'children', 'sex_female', 'region_southeast', 'region_southwest')",1,6,0.010900520354628629
5,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_northwest')",1,6,0.7955759841605846
5,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_southeast')",1,6,0.7960769952461529
5,"('bmi', 'children', 'smoker_no', 'region_northeast', 'region_southwest')",1,6,0.7986309546700943
5,"('bmi', 'children', 'smoker_no', 'region_northwest', 'region_southeast')",1,6,0.7940739443399136
